id,published_at,title,symbol,name,snippet,highlight,url,sentiment
5,2023-06-15T17:36:44.000000Z,Wall Street sube con fuerza y Microsoft cotiza en zona de máximos históricos,AAPL,Apple Inc.,Los inversores celebran que la Fed haya puesto fin a una racha de diez subidas consecutivas en los tipos de interés y confían en que el ciclo de endurecimient...,"<em>Apple</em> y Alphabet registran subidas más moderadas, mientras que Amazon llega a ceder terreno.

Parte de la atención del mercado ha ido a parar hoy al debut en la Bolsa de Nueva York de los restaurantes Cava. Esta cadena de comida mediterránea se dispara más de un 90% en su primer día en el parqué.",https://www.expansion.com/mercados/2023/06/15/648b4b3f468aebb96c8b4620.html,7.096
1,2023-06-15T17:29:24.000000Z,The Fed Is Strangling the American Dream... 25 Basis Points at a Time,AAPL,Apple Inc.,"postcards from the florida republic

A few weeks ago, Deere (DR) and PepsiCo (PEP) took part in an AI conference showcasing the role of the tech in future opera...","<em>Apple</em>, Amazon, Alphabet and Meta spent more than $55 million on lobbying the federal government in 2021. That doesn’t mean directly to Congress. The spending is directed toward agencies as well. For them, it’s money well spent.",https://moneymorning.com/2023/06/15/the-fed-is-strangling-the-american-dream-25-basis-points-at-a-time/,5.574
3,2023-06-15T16:55:58.000000Z,"Wall street se reprend, les rendements baissent après les données économiques",AAPL,Apple Inc.,"(Pour un blog Reuters en direct sur les marchés boursiers américains, britanniques et européens, cliquez ou tapez LIVE/ dans une fenêtre de nouvelles)

* Le...","<em>Apple</em>, Microsoft et Meta Platforms ont gagné entre 0,7 % et 2,6 %.

""À ce stade, beaucoup d'argent a été mis de côté par les personnes qui avaient peur de la récession, et au fur et à mesure que les inquiétudes disparaissent, les gens reviennent vers les actions"", a déclaré David Russell, vice-président de Market Intelligence chez TradeStation.",https://www.zonebourse.com/cours/indice/S-P-500-4985/actualite/Wall-street-se-reprend-les-rendements-baissent-apres-les-donnees-economiques-44123820/,0.0
5,2023-06-15T16:43:03.000000Z,The 7 companies driving the U.S. stock market rally,AAPL,Apple Inc.,"This advertisement has not loaded yet, but your article continues below.

Ross McKitrick: The truth about forest fires goes up in climate-change smoke

The 7 co...","Seven of the biggest constituents — <em>Apple</em> <em>Inc</em>., Microsoft Corp., Google owner Alphabet Inc., Amazon.com Inc., Nvidia Corp., Tesla Inc. and Meta Platforms Inc. — have ripped higher, gaining between 40 per cent and 180 per cent this year. The remaining 493 companies are, in aggregate, flat.",https://financialpost.com/financial-times/7-companies-driving-us-stock-market-rally,4.215
1,2023-06-15T16:30:00.000000Z,"Coinbase (NASDAQ: COIN) is fourth most traded share in UK, ranks higher than Meta (NASDAQ: META) and Apple (NASDAQ: AAPL)",AAPL,Apple Inc.,"June 15, 2023 (Investorideas.com Newswire) Coinbase is the fourth most traded share across the United Kingdom, according to new +Insights data from May 1, 2022,...","The UK's top ten stocks consist of three auto manufacturing companies: Tesla, NIO, and Rivian; three technology stocks: Meta, <em>Apple</em>, Snap; one consumer discretionary stock: Amazon; one cryptocurrency company: Coinbase; one pharmaceutical, Aurora; one energy stock; Uniper.",https://www.investorideas.com/news/2023/cryptocurrency/06152Coinbase.asp,5.574
3,2023-06-15T16:24:19.000000Z,Markets Rise Midday as Tech Stocks Climb,AAPL,Apple Inc.,"Key Takeaways U.S. equities advanced at midday on June 15, 2023 as tech stocks climbed after the Fed paused rate hikes.

Tech stocks advanced, with shares of Mi...","Intel (INTC) shares also picked up 2%, and shares of <em>Apple</em> (AAPL), Cisco Systems (CSCO), and Meta Platforms (META) added 1%. Domino’s Pizza (DPZ) was the best-performing stock in the S&P 500 on an upgrade from Stifel. Shares of T-Mobile US (TMUS) jumped after Morgan Stanley reinstated the stock as a top pick.",https://www.investopedia.com/markets-rise-midday-as-tech-stocks-climb-amid-rate-hike-optimism-7547216,7.506
5,2023-06-15T16:20:06.000000Z,"Ethenea: azionario Usa squilibrato, un quarto dell’S&P 500 concentrato in 5 titoli Da FinanciaLounge",AAPL,Apple Inc.,"Pubblicato 15.06.2023 20:00

© Reuters. Ethenea: azionario Usa squilibrato, un quarto dell’S&P 500 concentrato in 5 titoli

AMZN -0,11% Aggiungi/Rimuovi dal ...","titoli

AMZN -0,11% Aggiungi/Rimuovi dal Portafoglio AAPL +0,69% Aggiungi/Rimuovi dal Portafoglio GOOGL +0,07% Aggiungi/Rimuovi dal Portafoglio MSFT +2,28% Aggiungi/Rimuovi dal Portafoglio US2000 +0,19% Aggiungi/Rimuovi dal Portafoglio GOOG +0,14% Aggiungi/Rimuovi dal Portafoglio

Il portfolio manager Christian Schmitt, commenta la concentrazione su <em>Apple</em>",https://it.investing.com/news/economy/ethenea-azionario-usa-squilibrato-un-quarto-dellsp-500-concentrato-in-5-titoli-2151500,0.0
1,2023-06-15T15:47:10.000000Z,"Peter Lynch Said: If You Spend 13 Minutes A Year On Economics, You've Wasted 10 Minutes",AAPL,Apple Inc.,"winyuu

Unless you've read a lot of older investment books, chances are members of the Gen Z or Millennial generations haven't heard of legendary stock picker P...","Trust me, year-to-date through June 14, 2023, I get it that Nvidia (NVDA) is up 194% ($146 to $430), <em>Apple</em> (AAPL) is up 41.5% ($130 to $184), Microsoft (MSFT) is up 40.4% ($240 to $337), Meta Platforms (META) is up 127.5% ($120 to $273), and Tesla (TSLA) is up 109% ($123 to $257).

Are these stocks very stretched and overvalued?",https://seekingalpha.com/article/4611743-as-peter-lynch-said-if-you-spend-13-minutes-a-year-on-economics-youve-wasted-10-minutes,5.106
3,2023-06-15T15:28:00.000000Z,先探／謝金河：台灣正能量股躍出,AAPL,Apple Inc.,"文／謝金河

二○二三年已經過了近半，在美國暴力升息下，利率從○∼○．二五％拉升到五∼五．二五％，十三日美國?...",今年科技股抬頭，Nasdaq大漲二九．八九％，更大型的Nasdaq 100指數大漲三六．五二％，<em>Apple</em>到一八四美元以上，再創歷史新高；微軟也逼近前波高點，它們都沾了ＡＩ的光，這比起標普五○○上漲十三．九六％，道瓊指數上漲三．五一％出色很多，這可以看出美國是科技股領軍，尤其是半導體，這次最核心的是Nvidia，上上周漲到四一九．三八美元，市值跑到一．○三五八兆美元，十三日Nvidia又站上四一一美元，市值站回一兆美元，TSMC ADR也提升到五五三九億美元，大約是Nvidia一半。,https://finance.ettoday.net/news/2520812?from=rss&redirect=1,5.574
5,2023-06-15T15:27:00.000000Z,ETtoday財經雲,AAPL,Apple Inc.,ＡＩ題材持續發酵，加權指數攻抵萬七大關，相關族群漲勢仍屬現在進行式；然而，也有些其他產業的個股，正在醞釀下?...,"文／黃俊超

美股籠罩多頭氛圍，S&P 500指數自去年十月低點漲幅逾兩成，達到定義上的牛市，S&P 500、Nasdaq與費城半導體，指數，持續創下今年來新高，ＡＩ題材搭配聯準會升息進入尾聲，是最主要的兩大原因，市場對於經濟後市展望看法分歧，本波漲勢主要集中在Microsoft、Google、Amazon、Meta、Nvidia、Tesla、<em>Apple</em>等少數的大型龍頭股身上。

老牌電子股大殺四方

[廣告]請繼續往下閱讀...",https://finance.ettoday.net/news/2520806?from=rss&redirect=1,5.574
